kaggle_dataset,gcs_path
siim-tfrec-cc-768-train-part-1,gs://kds-f96c7e714d07ef9880a9a1b31d8042c704b9ca97b54352648d410dea
siim-tfrec-cc-768-train-part-2,gs://kds-991c81b43515875e7fe5ab2baa2a4821703daa78b8a08fc15005271f
siim-tfrecs-opencv-512-external,gs://kds-bb1f7a26064f320b761072acec07916dcde17bf3029be7e114a32880
siim-tfrecs-opencv-512-test,gs://kds-1251caec0ce570001558e60853539f369dc87964602a25f1dd7067b6
siim-tfrecs-opencv-512-train,gs://kds-30beeeb809b204a9a2bfbdc20b73eb385a1619b77b0bac3a6e238b96
skin-cancer-mnist-ham10000,gs://kds-1c05aeea8f05f57c639c9aab6c9798328809c790877bf614a53e3978
sms-spam-collection-dataset,gs://kds-11945a5689fbb86b507ee0326e627c65fa5808567a42f8a246f72653
soccer,gs://kds-57380fbbb654035ec432f67d8153c4b37703499dc553f0e7b12e7705
speed-dating-experiment,gs://kds-ae3b39d784e4280f6da64343ffab03135860b4be04e718494f71ccd3
stanford-dogs-dataset,gs://kds-e69a6044e7ebe7b38e48bfc0e878ef96edcfa8d43514d275d57e1cdb
stocknews,gs://kds-32b4ed60a36abc32b0e4898f27a446f646be93a0b95e41517bb068ed
student-alcohol-consumption,gs://kds-d8c421c20560501d923926067f4471ffe4a748fc27be8dd3cd889b39
students-performance-in-exams,gs://kds-bee4d0fb250c27b9c267bda26e0f5cb3b4b5db612b119f882ddbbb6a
suicide-rates-overview-1985-to-2016,gs://kds-4bf059cd58ada341fe728071562ab3c44de8c68ae14c57132d1024c6
ted-talks,gs://kds-24252dec022430871bceeb55650b98205d61fbd3a5106381a69b5fd1
telco-customer-churn,gs://kds-7072e674e8e392f27312d650e4fcb485ac2dd8db56c2bdf301dd72f2
tf-efficientnet-b4,gs://kds-df15b5515f6987b7b54b9821a691f602ef35c37d3c42da151cb5168d
tf-roberta,gs://kds-c28e532cdef31e8f66b47e8337d09a512ba3b6a64485606f97f59234
the-movies-dataset,gs://kds-f64a95a456c639d8c7e55924d3cc493c5fb18c684e0de2ffed3841d9
timm-efficientdet-pytorch,gs://kds-3bfa45c46983ae63011476e78612ca27d6c436736e282f30c3071048
tmdb-movie-metadata,gs://kds-4d172f9374ccd4b463f9187e1067099748667f3d697611439b959eb6
top50spotify2019,gs://kds-7c311a730c478b66092e4f801b100bcbdc141b9cd2e4ba74aeacaf64
top-ion-subs,gs://kds-2e045114f528fcc78e462dae112675ad026b5afa43e5b0f90120f311
twitter-airline-sentiment,gs://kds-539104b28bfe88cb4539b4534be02afa1e2359dc82757c65ed28079d
ufcdata,gs://kds-cf2cb96b2b74071847358b7f53759ab297c6e5b765b623692286d91f
uncover,gs://kds-6c5aefdd848d02c09d18e2d93916a452639abc89b92779bfe3f0b2a6
us-accidents,gs://kds-c2d441487df0d89b203d2065d7a2e01dc226fc30e721ac0035ff43c8
videogamesales,gs://kds-88c29b381d3abcbacd7bf27de90c8b7225753a17b3b2387cf5fdfcfe
video-game-sales-with-ratings,gs://kds-15430a40d9a8bd4cf61a8c7a8cc74084d4866affac12e4f26f4305d6
voicegender,gs://kds-6127491994d21d66aca46a1814323a4a51b1a1cdbbaaea099a47ddf0
weather-dataset-rattle-package,gs://kds-c41f95f74dedd33381468f57c5f9cfa1d4d34479e57ee2a70b71a016
weightedboxesfusion,gs://kds-bc90d65935377fcceee923ebb08238ffa44c1892fe386de4fcb5d497
wheat-effdet5-fold0-best-checkpoint,gs://kds-3db8dd3880d6e924e3d3cf93e2e3f43a28476964011f5e820274e279
wheat-fasterrcnn-folds,gs://kds-ff174091c75894e7a3a2d466e401674c7cfb0a53ff38bb84a6fa55ec
wine-reviews,gs://kds-e99f788183d805b032073bcaba6524481fc57ea828db5d30358d2d26
womens-ecommerce-clothing-reviews,gs://kds-c64efae2fa757b6b5d5dca5f84d85f423c151c8287b8ef4664a2a462
world-development-indicators,gs://kds-4482df9fcf10bf1cffc40377bce359b9817b7b7681f7d3cc51b2d734
world-food-facts,gs://kds-68f7282de11dc2183cf85f714b013bd181227ad32fb8a7a76823b120
world-happiness,gs://kds-7d3ce69f7f277795309967d47ca479008dadb4649f2d6146800f6fd6
world-university-rankings,gs://kds-faef2f65e9c2c141fa7e53b2b65fa3686d82d043d31883c18462db93
x5retailheroupliftrawdata,gs://kds-098f066e1946311726c760b787b159c8e0d8e4774b5464b4aa5825cd
yetanotherefficientdetpytorch,gs://kds-a7199e71d17a5c3382c198c60bd84e9eb1de06ea46334476be5124be
young-people-survey,gs://kds-41a91a9abfe42b671ae52adef4e34881d3c38f51d6ee6e6dc2842c70
youtube-new,gs://kds-a4a7186e03cc3a250498fa54e4191a10b6f717c877ca8d82dce37e32
zecon,gs://kds-0b615bddc6a0cd5c34271f3872a415705e26fe51fa16f311ecfa7159
zomato-bangalore-restaurants,gs://kds-7a55d942e3d7f39847c6b393769657acde070b8992fa70fc5756b054
zomato-restaurants-data,gs://kds-36d7ef84d7dda336f6ddfa0730546a6ab271431c75d2fd4da0669d25
